Type,Result,WL,Defer,Attend,GPA,"Highest Comb SAT 1600",ACT,Year
RD,Denied,,,No,3.388,1320,28,2018
EA,Denied,,,No,3.931,1330,27,2018
RD,Waitlisted,Yes,,No,4.41,1480,33,2018
EA,Withdrawn,,,No,4.486,1560,-,2018
RD,Denied,,Yes,No,4.16,1480,-,2018
EA,Denied,,Yes,No,3.95,1420,-,2018
RD,No decision,Yes,,No,4.056,1500,33,2018
RD,Incomplete,,,No,3.907,1420,30,2018
RD,Accepted,,,Yes,4.04,1470,32,2018
EA,Deferred,,Yes,No,4.361,1560,34,2018
RD,Waitlisted,Yes,,No,4.375,1530,34,2018
EA,Accepted,,,No,4.313,1410,33,2018
RD,Waitlisted,Yes,,No,4.039,1400,32,2018
RD,Accepted,,,No,4.528,1580,36,2018
EA,Denied,,,No,4.087,1410,33,2018
EA,Denied,,,No,4.063,1480,34,2018
RD,Accepted,,,No,3.858,1440,30,2018
EA,Denied,,Yes,No,4.034,1490,33,2018
RD,Incomplete,,,No,3.123,1200,20,2018
RD,Incomplete,,,No,3.732,1350,-,2018
RD,Waitlisted,Yes,,No,4.175,1540,35,2018
RD,Deferred,Yes,Yes,No,4.479,1510,35,2018
EA,Waitlisted,Yes,,No,4.397,1570,35,2018
EA,Denied,,,No,3.844,-,33,2018
RD,Denied,,,No,3.435,1510,-,2018
EA,Waitlisted,Yes,,No,4.625,1500,35,2018
EA,Waitlisted,Yes,,No,4.195,1450,32,2018
RD,Denied,,,No,4.232,1530,36,2018
RD,Withdrawn,,,No,4.362,1520,35,2018
EA,Denied,,,No,4.023,1350,-,2018
EA,Incomplete,,,No,4.028,1450,29,2018
EA,Deferred,,Yes,No,4.125,1490,-,2018
EA,Withdrawn,,,No,4.563,1560,-,2018
RD,Waitlisted,Yes,,No,4.132,1470,-,2018
RD,Denied,,,No,3.867,1500,33,2018
EA,Incomplete,,,No,4.076,1490,-,2018
EA,Denied,,,No,3.875,-,30,2018
RD,Incomplete,,,No,4.427,1530,34,2018
EA,No decision,Yes,,No,4.327,1580,-,2018
EA,Accepted,,,No,4.112,1270,32,2018
EA,Withdrawn,,,No,4.084,-,34,2018
RD,Waitlisted,Yes,,No,4.279,-,35,2018
RD,Incomplete,,,No,3.605,1220,30,2018
EA,Waitlisted,Yes,,No,4.223,1520,-,2018
EA,Denied,,,No,4.038,1440,31,2018
RD,Incomplete,,,No,3.519,1110,25,2018
EA,Accepted,Yes,,Yes,4.369,1510,34,2018
EA,Incomplete,,,No,3.984,1300,28,2018
EA,No decision,Yes,,No,4.042,1510,35,2018
EA,Incomplete,,,No,3.743,1340,-,2018
EA,Deferred,Yes,Yes,No,4.451,1540,-,2018
EA,Accepted,Yes,,Yes,4.244,1490,35,2018
EA,Waitlisted,Yes,,No,4.25,1500,34,2018
RD,Denied,,,No,4.273,1490,34,2018
EA,Waitlisted,Yes,,No,3.705,1240,-,2018
EA,Denied,,Yes,No,3.893,1420,34,2018
RD,Denied,,,No,3.486,1300,25,2018
EA,Waitlisted,Yes,,No,4.302,1520,35,2018
EA,Unknown,,,No,3.747,1270,27,2018
EA,Denied,,,No,3.702,1310,-,2018
RD,Withdrawn,,,No,3.492,1350,26,2018
EA,Incomplete,,,No,4.023,1550,-,2018
EA,Denied,,,No,3.644,1360,29,2018
EA,Denied,,,No,3.663,-,31,2018
EA,Accepted,,,No,4.396,1550,-,2018
RD,Incomplete,,,No,3.536,1210,-,2018
RD,Denied,,Yes,No,3.5,1290,27,2018
EA,Accepted,,,No,4.125,1430,31,2018
EA,Unknown,,,No,3.353,-,31,2018
EA,Denied,,,No,3.699,1460,-,2018
RD,Denied,,,No,4.16,1460,35,2018
EA,Accepted,,,No,4.312,1450,-,2018
EA,Accepted,,,Yes,4.209,1450,33,2018
EA,Waitlisted,Yes,,No,4.299,1550,33,2018
EA,Denied,,,No,3.833,1420,-,2018
EA,Waitlisted,Yes,,No,4.39,1500,-,2018
EA,Denied,,,No,3.397,1380,-,2018
RD,Waitlisted,Yes,,No,4.406,1530,-,2018
EA,Accepted,,,No,4.264,1520,32,2018
EA,Denied,,,No,3.791,1550,28,2018
EA,Denied,,,No,4,1500,-,2018
RD,Accepted,,,No,4.16,1540,32,2018
EA,Withdrawn,,,No,3.812,1410,31,2018
RD,Waitlisted,Yes,,No,4.129,1510,35,2018
EA,No decision,Yes,,No,4.091,1430,32,2018
EA,Denied,,Yes,No,3.863,1540,-,2018
EA,Waitlisted,Yes,,No,4.19,1430,-,2018
EA,Denied,,,No,3.903,1510,-,2018
EA,Waitlisted,Yes,,No,4.073,1490,-,2018
EA,Incomplete,,,No,3.605,1220,30,2018
RD,Denied,,,No,3.902,1360,29,2018
RD,Denied,,,No,3.239,1150,-,2018
RD,Incomplete,,,No,3.69,1270,-,2018
RD,Incomplete,,,No,3.83,1480,-,2018
EA,Accepted,,,Yes,4.374,-,34,2018
EA,Denied,,Yes,No,4.041,1470,32,2018
EA,Accepted,,,No,3.612,1440,-,2018
RD,Waitlisted,Yes,,No,4.202,1480,33,2018
RD,Incomplete,,,No,4.428,1430,-,2018
RD,Unknown,,,No,3.968,1390,-,2018
RD,Incomplete,,,No,3.543,1390,-,2018
EA,Denied,,,No,3.75,1430,-,2018
RD,Denied,,,No,3.857,1340,27,2018
RD,Incomplete,,,No,3.806,1260,30,2018
EA,Waitlisted,Yes,,No,4.279,-,35,2018
EA,Denied,,,No,3.663,1370,34,2018
RD,Incomplete,Yes,,No,4.435,1520,35,2018
RD,Withdrawn,,,No,3.394,1210,21,2018
EA,Waitlisted,Yes,,No,4.129,1510,35,2018
RD,Denied,,,No,3.592,1470,-,2018
RD,Incomplete,,,No,3.312,1460,-,2018
RD,Waitlisted,Yes,,No,4.298,-,-,2018
RD,Incomplete,,,No,3.716,1330,25,2018
RD,Incomplete,,,No,3.8,1380,-,2018
RD,Denied,,,No,3.011,1140,33,2018
RD,Denied,,,No,3.787,1270,-,2018
RD,Denied,,,No,3.753,1350,29,2018
RD,Denied,,,No,4.125,1490,-,2018
RD,Incomplete,,,No,3.921,1510,-,2018
RD,Denied,,,No,4.173,1460,-,2018
RD,Waitlisted,Yes,,No,4.181,1520,-,2018
RD,Incomplete,,,No,3.804,1390,-,2018
RD,Incomplete,,,No,3.91,-,-,2018
RD,Waitlisted,Yes,,No,4.292,1550,-,2018
RD,Incomplete,,,No,3.501,1310,22,2018
RD,Unknown,,,No,3.181,1310,-,2018
RD,Withdrawn,,,No,3.482,1340,-,2018
RD,Denied,,,No,3.817,1400,31,2018
RD,Waitlisted,Yes,,No,3.882,1260,32,2018
RD,Incomplete,,,No,4.417,1540,-,2018
RD,Denied,,,No,4.09,1280,32,2018
RD,Denied,,,No,3.392,1320,-,2018
RD,Incomplete,,,No,3.501,1310,22,2018
RD,Guar. Transfer,,,No,3.885,1320,22,2018
RD,Waitlisted,Yes,,No,4.227,1540,34,2018
RD,Withdrawn,,,No,4.306,1550,-,2018
RD,Incomplete,,,No,4.465,1530,-,2018
RD,Incomplete,,,No,3.865,1290,33,2018
RD,Incomplete,,,No,3.565,1020,-,2018
RD,No decision,Yes,,No,4.282,1470,34,2018
EA,Incomplete,,,No,4.069,1460,-,2017
EA,Withdrawn,,,No,4.419,1550,34,2017
EA,Denied,,,No,3.453,1400,32,2017
RD,Incomplete,,,No,4.454,1530,34,2017
EA,Accepted,,,Yes,3.983,1520,33,2017
RD,Accepted,,,No,4.491,1580,-,2017
EA,Accepted,,,Yes,4.107,-,32,2017
EA,Waitlisted,Yes,,No,4.186,-,35,2017
EA,Accepted,,,No,4.292,1510,34,2017
EA,Waitlisted,Yes,,No,4.165,1490,32,2017
RD,Denied,,,No,3.905,1360,31,2017
EA,Accepted,,,No,4.416,1540,34,2017
EA,Denied,,,No,4.188,1330,34,2017
EA,Denied,,,No,4.007,-,30,2017
EA,Accepted,,,Yes,4.389,1390,35,2017
EA,Denied,,,No,3.809,1300,27,2017
RD,Denied,,,No,4.29,1600,-,2017
RD,Incomplete,,,No,4.004,1250,-,2017
RD,Denied,,,No,4.356,1530,-,2017
EA,Accepted,,,No,4.125,1380,33,2017
EA,No decision,,,No,4.066,1480,31,2017
EA,Accepted,,,No,4.533,1550,-,2017
EA,Denied,,,No,3.575,1350,28,2017
EA,Accepted,,,Yes,4.577,1550,-,2017
RD,Waitlisted,Yes,,No,4.505,1500,-,2017
EA,Accepted,,,No,4.578,1580,34,2017
EA,Denied,,,No,4.012,1420,32,2017
EA,Accepted,,,No,4.174,1520,32,2017
RD,Incomplete,,,No,3.991,1360,30,2017
RD,Denied,,,No,4.202,1470,33,2017
RD,Incomplete,,,No,4.383,1510,34,2017
EA,Waitlisted,Yes,,No,4.3,1120,35,2017
RD,Accepted,,,Yes,4.5,1530,35,2017
RD,Denied,,,No,4.178,1410,31,2017
EA,Waitlisted,Yes,,No,4.197,1530,-,2017
EA,Denied,,,No,2.938,1400,-,2017
EA,Denied,,,No,3.94,1550,-,2017
RD,Denied,,,No,4.135,1350,32,2017
RD,Waitlisted,Yes,,No,4.282,1460,34,2017
RD,Denied,,,No,4.203,1440,36,2017
RD,Incomplete,,,No,3.966,1350,-,2017
EA,Waitlisted,Yes,,No,3.801,1380,31,2017
EA,Denied,,,No,4.363,1550,34,2017
EA,No decision,Yes,,No,4.056,1330,30,2017
RD,Waitlisted,Yes,,No,4.295,1460,30,2017
RD,Incomplete,,,No,3.606,1290,26,2017
RD,Denied,,,No,4.039,1410,33,2017
RD,Withdrawn,,,No,3.526,1340,31,2017
EA,Waitlisted,Yes,,No,4.004,1480,32,2017
EA,Incomplete,,,No,3.433,1150,-,2017
RD,Incomplete,,,No,4.144,1480,35,2017
RD,Withdrawn,,,No,4.544,1540,-,2017
RD,Denied,,,No,3.597,1410,29,2017
RD,Withdrawn,,,No,3.74,1290,-,2017
RD,Denied,,,No,3.156,1320,27,2017
RD,Incomplete,,,No,3.668,1320,-,2017
RD,Withdrawn,,,No,4.381,1470,-,2017
RD,Unknown,,,No,4.289,1490,-,2017
RD,Incomplete,,,No,3.757,1320,33,2017
RD,No decision,,,No,3.938,1370,-,2017
RD,Incomplete,,,No,3.731,1290,28,2017
RD,No decision,,,No,3.69,1310,28,2017
RD,Denied,,,No,4.025,1460,34,2017
RD,Incomplete,,,No,4.342,1530,-,2017
RD,Withdrawn,,,No,3.738,1400,26,2017
RD,Incomplete,,,No,4.395,1490,-,2017
RD,Unknown,,,No,3.622,1200,28,2017
RD,Withdrawn,,,No,4.544,1540,-,2017
RD,Denied,,,No,3.824,1440,-,2017
RD,Denied,,,No,3.708,1280,25,2017
RD,Incomplete,,,No,3.567,1260,26,2017
RD,Incomplete,,,No,3.83,1170,-,2017
EA,Accepted,,,No,4.512,1530,-,2016
EA,Unknown,,,No,3.88,1430,-,2016
EA,Waitlisted,Yes,,No,4.326,1560,35,2016
EA,Waitlisted,Yes,,No,3.829,1300,31,2016
EA,Deferred,,Yes,No,4.225,1520,-,2016
RD,Waitlisted,Yes,,No,4.553,1600,36,2016
RD,Waitlisted,Yes,,No,4.275,1450,32,2016
EA,Accepted,,,No,4.217,1470,34,2016
RD,Waitlisted,Yes,,No,4.121,1420,-,2016
EA,Waitlisted,Yes,,No,4.236,1580,-,2016
EA,Waitlisted,Yes,,No,4.449,1530,-,2016
EA,Denied,,Yes,No,4.014,1460,-,2016
EA,Accepted,,,Yes,4.363,1510,-,2016
EA,No decision,Yes,,No,4.316,1470,34,2016
RD,Denied,Yes,,No,3.867,1390,34,2016
EA,Accepted,,,No,4.481,1600,-,2016
RD,Withdrawn,,,No,4.407,1410,34,2016
RD,Denied,,,No,4.013,1480,30,2016
RD,Denied,Yes,,No,4.05,1320,30,2016
EA,Denied,Yes,,No,4.05,1320,30,2016
EA,Incomplete,,,No,4.381,1510,-,2016
EA,Unknown,,,No,4.142,1410,-,2016
RD,Withdrawn,,,No,4.081,1340,32,2016
RD,Incomplete,,,No,3.943,1440,-,2016
RD,Denied,,,No,3.879,1210,32,2016
EA,Accepted,,,No,4.32,1580,-,2016
RD,Incomplete,,,No,3.711,1270,27,2016
EA,Accepted,,,No,4.254,1520,-,2016
EA,Accepted,,,No,3.881,1370,33,2016
EA,Denied,,,No,4.351,1510,34,2016
EA,Waitlisted,Yes,,No,4.194,1400,32,2016
EA,Deferred,,Yes,No,4.045,1290,31,2016
RD,Accepted,,,No,4.518,1480,-,2016
EA,Accepted,,,No,4.246,1570,35,2016
EA,Denied,,,No,4.06,1490,33,2016
RD,Accepted,,,No,4.333,1380,34,2016
EA,Waitlisted,Yes,,No,4.185,1140,26,2016
RD,Incomplete,,,No,4.197,1380,33,2016
RD,Waitlisted,Yes,,No,4.185,1510,-,2016
RD,Accepted,,,Yes,4.146,1360,-,2016
RD,Withdrawn,,,No,3.914,1450,33,2016
EA,Waitlisted,Yes,,No,4.159,1480,-,2016
RD,Withdrawn,,,No,4.127,1520,-,2016
RD,Incomplete,,,No,3.432,1360,32,2016
RD,No decision,,,No,4.03,1370,33,2016
RD,Denied,,,No,3.768,1360,30,2016
EA,Accepted,,,Yes,4.153,1340,29,2016
EA,Accepted,,,Unknown,4.314,1400,35,2016
EA,Accepted,,,No,4.13,1540,31,2016
RD,Incomplete,,,No,3.985,1370,33,2016
RD,Accepted,,,Yes,4,1230,-,2016
RD,Incomplete,,,No,4.006,1400,31,2016
RD,Accepted,,,No,4.533,1600,-,2016
EA,Denied,,,No,3.966,1530,32,2016
EA,Incomplete,,,No,3.711,1270,27,2016
RD,Denied,,,No,3.861,1310,29,2016
RD,Denied,,,No,3.647,-,30,2016
EA,Denied,,,No,3.67,1300,26,2016
EA,Accepted,,,No,3.91,1150,33,2016
RD,Waitlisted,Yes,,No,4.294,1500,35,2016
RD,Denied,,,No,3.482,1120,-,2016
RD,Accepted,,,No,3.91,1150,33,2016
EA,Accepted,,,No,3.91,1150,33,2016
RD,No decision,,,No,4.27,1280,31,2016
RD,Withdrawn,,,No,4.443,1580,34,2016
RD,Incomplete,,,No,3.833,1210,24,2016
RD,Accepted,,,No,4.173,1450,-,2016
RD,Incomplete,,,No,4.494,1460,33,2016
RD,Incomplete,,,No,4.494,1460,33,2016
RD,Withdrawn,,,No,3.988,1310,-,2016
RD,Withdrawn,,,No,4.339,1560,-,2016
RD,Incomplete,,,No,3.913,1580,-,2016
RD,Withdrawn,,,No,3.865,1540,-,2016
RD,Denied,,,No,4.131,1480,33,2016
RD,Denied,,,No,4.108,1310,-,2016
RD,No decision,,,No,3.405,1430,27,2016
RD,Withdrawn,,,No,4.301,1450,34,2016
RD,Withdrawn,,,No,4.502,1440,35,2016
RD,Waitlisted,Yes,,No,4.246,1480,34,2016
RD,Incomplete,,,No,3.914,1540,35,2016
RD,No decision,Yes,,No,4.105,1370,30,2016
RD,Denied,,,No,4.18,1480,36,2016
RD,Accepted,,,No,3.405,1430,27,2016
RD,Incomplete,,,No,4.434,1540,-,2016
RD,Incomplete,,,No,3.954,1280,29,2016
