Type,Result,WL,Defer,Attend,GPA,"Highest Comb SAT 1600",ACT,Year
EA,Accepted,,,Unknown,3.776,1450,25,2019
EA,Incomplete,,,Unknown,2.639,1100,-,2019
EA,Denied,,,No,3.804,1480,-,2019
EA,Accepted,,,No,4.208,1550,-,2019
PRI,Accepted,,,No,3.809,1330,-,2019
EA,Accepted,,,No,3.922,1420,27,2019
RD,Denied,,,No,3.344,1460,19,2019
RD,Unknown,,,No,3.594,1100,-,2019
EA,Incomplete,,,No,4.168,-,26,2019
EA,Accepted,,,No,3.48,1200,-,2019
RD,Accepted,,,Unknown,4.126,1230,-,2019
EA,Accepted,,,No,4.514,1550,-,2019
EA,Unknown,,,No,3.596,1280,-,2019
PRI,Unknown,,,No,3.656,1290,30,2019
EA,Accepted,,,No,3.95,1480,-,2019
RD,Withdrawn,,,No,3.749,1360,-,2019
EA,Denied,,,No,3.47,-,-,2019
EA,Accepted,,,Unknown,3.92,1530,-,2019
EA,Accepted,,,No,3.528,1340,27,2019
RD,Withdrawn,,,No,3.447,1390,27,2019
RD,Accepted,,,No,3.755,1060,-,2019
EA,Accepted,,,No,4.021,1390,-,2019
PRI,Denied,,,No,4.066,1400,-,2019
RD,Waitlisted,Yes,,No,3.668,1390,31,2019
RD,Incomplete,,,Unknown,3.727,-,-,2019
EA,Accepted,,,Yes,4.105,1550,-,2019
EA,Accepted,,,No,3.362,-,32,2019
EA,Accepted,,,No,3.935,1310,-,2019
EA,Accepted,,,Unknown,3.746,1410,-,2019
EA,Unknown,,,No,2.906,1310,17,2019
EA,Accepted,,,No,3.849,1450,-,2019
EA,Accepted,,,No,3.757,1290,-,2019
EA,Accepted,,,No,3.772,1230,-,2019
RD,Accepted,,,Yes,4.275,1540,-,2019
PRI,Accepted,,,No,4.409,1510,-,2019
EA,Accepted,,,No,3.932,-,33,2019
EA,Incomplete,,,No,3.244,-,32,2019
EA,Accepted,,,No,4.157,1580,-,2019
RD,Withdrawn,,,No,3.634,-,30,2019
EA,Accepted,,,No,3.826,1530,-,2019
EA,Unknown,,,No,3.75,1340,26,2019
RD,Withdrawn,,,No,3.603,1410,-,2019
RD,Accepted,,,No,4.113,1510,-,2019
RD,Withdrawn,,,No,3.681,1290,26,2019
RD,Incomplete,,,Unknown,3.51,1350,29,2019
RD,Incomplete,,,No,3.826,1420,-,2019
RD,Incomplete,,,Unknown,2.518,-,-,2019
RD,Incomplete,,,Unknown,4.387,1490,-,2019
RD,Denied,,,No,4.09,-,30,2019
RD,Incomplete,,,No,4.152,1480,34,2019
RD,Denied,,,Unknown,3.67,-,-,2019
RD,Withdrawn,,,No,4.001,-,32,2019
RD,Denied,,,No,4.024,1440,-,2019
RD,Incomplete,,,No,3.548,1470,32,2019
RD,Denied,,,No,4.03,1440,-,2019
RD,Withdrawn,,,No,4.106,1500,32,2019
RD,Unknown,,,No,3.16,-,-,2019
RD,No decision,,,No,3.372,1360,-,2019
RD,Denied,,,No,3.753,1420,-,2019
PRI,Accepted,,,No,4.188,1440,35,2018
RD,Denied,,,No,3.388,1320,28,2018
EA,Accepted,,,No,4.451,1540,-,2018
EA,Incomplete,,,No,4.282,1470,34,2018
PRI,Accepted,,,No,4.033,1300,23,2018
EA,Denied,,,No,3.238,1070,-,2018
EA,Denied,,,No,3.238,1070,-,2018
PRI,Accepted,,,No,3.692,1310,-,2018
EA,Accepted,,,Yes,4.087,1410,33,2018
EA,Accepted,,,Yes,3.685,1350,31,2018
PRI,Accepted,,,Yes,4.327,1580,-,2018
RD,Incomplete,,,No,3.812,1330,-,2018
EA,Withdrawn,,,No,4.486,1560,-,2018
EA,Accepted,,,Yes,4.41,1550,36,2018
PRI,Accepted,,,No,4.056,1300,-,2018
EA,Accepted,,,Yes,3.844,1450,-,2018
RD,Accepted,,,Yes,4.051,1150,27,2018
PRI,Accepted,,,No,4.313,1410,33,2018
RD,Accepted,,,No,4.528,1580,36,2018
EA,Accepted,,,Yes,4.063,1480,34,2018
EA,Accepted,,,No,4.034,1490,33,2018
EA,Accepted,,,Yes,3.827,1340,25,2018
EA,Accepted,,,No,4.302,1520,35,2018
RD,Accepted,,,No,4.327,1490,34,2018
RD,Incomplete,,,No,3.732,1350,-,2018
EA,Accepted,,,No,3.966,1490,33,2018
PRI,Accepted,,,No,3.806,-,33,2018
PRI,Accepted,,,No,4.41,1480,33,2018
PRI,Accepted,,,No,4.007,1300,-,2018
EA,Unknown,,,No,3.917,-,-,2018
EA,Accepted,,,No,3.693,1100,21,2018
RD,Withdrawn,,,No,3.894,1450,-,2018
PRI,Accepted,,,No,4.028,1450,29,2018
PRI,Accepted,,,No,3.902,1360,29,2018
PRI,Accepted,,,Yes,4.195,1450,32,2018
EA,Accepted,,,No,3.804,1390,-,2018
RD,Accepted,,,No,3.389,1440,-,2018
EA,Accepted,,,Yes,3.963,1270,25,2018
RD,Incomplete,,,No,4.125,1490,-,2018
EA,Accepted,,,No,3.699,1460,-,2018
RD,Accepted,,,No,4.076,1490,-,2018
EA,Accepted,,,No,4.365,1430,-,2018
RD,Denied,,,No,3.801,1080,-,2018
EA,Accepted,,,No,3.973,1490,-,2018
EA,Accepted,,,No,4.041,1470,32,2018
PRI,Accepted,,,No,3.701,1380,-,2018
PRI,Accepted,,,No,4.403,1500,33,2018
EA,Accepted,,,Yes,4.023,1350,-,2018
RD,Incomplete,,,No,3.906,-,35,2018
PRI,Accepted,,,No,3.958,1320,33,2018
RD,Accepted,,,Yes,4.223,1520,-,2018
EA,Accepted,,,Yes,4.042,1510,35,2018
PRI,Accepted,,,No,3.489,1370,-,2018
EA,No decision,,,No,4.101,1360,34,2018
PRI,Accepted,,,No,4.066,-,33,2018
PRI,Accepted,,,No,3.978,1410,-,2018
EA,Accepted,,,No,4.138,1400,24,2018
EA,Incomplete,,,No,3.705,1240,-,2018
EA,Accepted,,,No,3.747,1270,27,2018
EA,Withdrawn,,,No,3.918,1160,24,2018
RD,Accepted,,,No,3.951,1330,-,2018
EA,Accepted,,,Yes,3.702,1310,-,2018
EA,Accepted,,,Yes,3.123,1200,20,2018
PRI,Accepted,,,Yes,4.404,1530,-,2018
EA,Accepted,,,No,4.028,1390,-,2018
EA,Summ. Admit,,,Yes,3.668,1480,-,2018
EA,Denied,,,No,2.761,1370,-,2018
EA,Accepted,,,No,3.663,-,31,2018
PRI,Accepted,,,No,4.396,1550,-,2018
PRI,Incomplete,,,No,3.755,1110,23,2018
PRI,Accepted,,,No,3.963,1320,-,2018
RD,Accepted,,,No,4.122,1390,-,2018
RD,Accepted,,,No,4.271,1530,35,2018
PRI,Accepted,,,No,3.701,1370,-,2018
EA,Denied,,,No,3.098,1270,-,2018
PRI,Accepted,,,No,4.207,1470,-,2018
RD,Withdrawn,,,No,3.84,1350,30,2018
PRI,Accepted,,,Yes,3.817,1400,31,2018
RD,Accepted,,,No,4.299,1550,33,2018
EA,Accepted,,,No,3.833,1420,-,2018
PRI,Accepted,,,No,2.978,1260,32,2018
RD,No decision,,,No,3.845,1480,32,2018
EA,Accepted,,,No,4.142,1430,-,2018
PRI,Accepted,,,No,3.354,1400,-,2018
RD,Accepted,,,No,3.868,1330,27,2018
EA,Accepted,,,No,4,1500,-,2018
RD,Denied,,,No,3.682,1180,25,2018
PRI,Accepted,,,No,3.895,1390,-,2018
RD,Accepted,,,No,3.484,1270,26,2018
RD,Denied,,,No,3.643,1120,23,2018
ED,Accepted,,,No,3.921,-,-,2018
RD,Denied,,,No,3.501,1310,22,2018
EA,Accepted,,,No,3.74,1080,21,2018
RD,Withdrawn,,,No,3.808,-,-,2018
RD,Accepted,,,No,3.91,1420,30,2018
EA,Accepted,,,No,4.125,-,-,2018
EA,Accepted,,,No,3.618,1430,-,2018
EA,Cond. Accept,,,No,3.236,1460,33,2018
EA,Incomplete,,,No,4.195,1460,29,2018
EA,Accepted,,,No,3.727,1510,31,2018
RD,Accepted,,,No,3.791,1550,28,2018
RD,Accepted,,,No,4.181,1520,-,2018
EA,Accepted,,,Yes,3.787,1270,-,2018
RD,Unknown,,,No,4.19,1430,-,2018
EA,Accepted,,,No,4.227,1540,34,2018
EA,Accepted,,,No,3.91,1260,-,2018
RD,Accepted,,,Yes,3.858,1180,25,2018
RD,Accepted,,,No,3.69,1270,-,2018
EA,Accepted,,,No,4.226,1520,-,2018
RD,Incomplete,,,No,3.486,1300,25,2018
RD,Incomplete,,,No,3.486,1300,25,2018
RD,Incomplete,,,No,3.913,1310,27,2018
RD,Denied,,,No,3.286,1390,27,2018
PRI,Accepted,,,No,3.928,1290,26,2018
EA,Accepted,,,Yes,4.375,1530,34,2018
RD,Incomplete,,,No,3.865,1290,33,2018
EA,Accepted,,,Yes,3.753,1350,29,2018
EA,Withdrawn,,,No,4.362,1520,35,2018
RD,Accepted,,,No,3.921,-,-,2018
RD,Jan. Admit,,,No,3.857,1340,27,2018
RD,Jan. Admit,,,No,3.993,1380,-,2018
PRI,Accepted,,,No,3.711,1190,27,2018
EA,Accepted,,,Yes,3.867,1500,33,2018
EA,Accepted,,,No,3.663,1370,34,2018
EA,Accepted,,,No,4.374,-,34,2018
PRI,Accepted,,,No,3.569,1150,25,2018
RD,Denied,,,No,3.153,1110,23,2018
EA,Withdrawn,,,No,3.4,1130,-,2018
RD,Incomplete,,,No,3.5,1290,27,2018
RD,Accepted,,,No,4,-,32,2018
PRI,Incomplete,,,No,3.765,1340,-,2018
RD,Accepted,,,No,4.085,1430,29,2018
EA,Jan. Admit,,,No,3.397,1380,-,2018
EA,Denied,,,No,3.483,-,21,2018
RD,Denied,,,No,3.092,1120,-,2018
EA,Denied,,,No,3.501,1310,22,2018
RD,Accepted,,,No,3.927,1440,-,2018
EA,Cond. Accept,,,No,3.626,1230,27,2018
EA,Denied,,,No,3.334,1330,24,2018
RD,Accepted,,,No,3.011,1140,33,2018
EA,Unknown,,,No,3.935,1360,34,2018
PRI,Accepted,,,No,3.69,1270,-,2018
RD,Unknown,,,No,4.333,1390,-,2018
RD,Accepted,,,No,3.936,1340,29,2018
RD,Incomplete,,,No,3.896,1500,34,2018
RD,Accepted,,,No,3.716,1330,25,2018
RD,Incomplete,,,No,3.575,-,19,2018
RD,Incomplete,,,No,3.575,-,19,2018
RD,Denied,,,No,3.844,-,33,2018
RD,Incomplete,,,No,3.507,1270,-,2018
RD,Withdrawn,,,No,3.482,1340,-,2018
RD,Denied,,,No,3.773,1230,-,2018
RD,Incomplete,,,No,3.625,1160,-,2018
RD,Unknown,,,No,3.942,-,31,2018
RD,Incomplete,,,No,3.293,1100,-,2018
RD,Withdrawn,,,No,4.298,-,-,2018
RD,Denied,,,No,3.424,1300,-,2018
RD,Accepted,,,No,3.341,1330,31,2018
RD,No decision,,,No,4.09,1280,32,2018
RD,Incomplete,,,No,3.893,1440,-,2018
RD,Denied,,,No,3.392,1320,-,2018
RD,Accepted,,,No,4.125,1430,31,2018
RD,Denied,,,No,3.501,1310,22,2018
RD,Denied,,,No,3.501,1310,22,2018
RD,Accepted,,,No,4.39,1500,-,2018
RD,Denied,,,No,3.844,-,33,2018
RD,Incomplete,,,No,3.816,1220,-,2018
RD,Denied,,,No,3.934,1250,29,2018
RD,Accepted,,,No,4.244,1490,35,2018
RD,Denied,,,No,3.58,1030,19,2018
RD,Accepted,,,Yes,3.95,1420,-,2018
EA,Denied,,,No,3.637,1180,27,2017
EA,Accepted,,,No,3.988,1270,25,2017
PRI,Accepted,,,Yes,3.821,1400,28,2017
RD,Denied,,,No,3.496,1320,-,2017
RD,Incomplete,,,No,3.814,1350,-,2017
EA,Accepted,,,Yes,4.186,-,35,2017
EA,Accepted,,,No,4.419,1480,-,2017
PRI,Accepted,,,No,4.107,-,32,2017
RD,Denied,,,No,3.123,1270,-,2017
EA,Accepted,,,No,3.984,1210,-,2017
RD,Incomplete,,,No,3.764,1190,-,2017
PRI,Accepted,,,No,4.416,1540,34,2017
RD,Incomplete,,,No,4.188,1330,34,2017
EA,Denied,,,No,3.636,1210,30,2017
EA,Accepted,,,Yes,4.007,-,30,2017
PRI,Denied,,,No,4.14,1180,23,2017
EA,Accepted,,,Yes,3.747,1280,23,2017
EA,Unknown,,,No,4.132,1480,-,2017
PRI,Accepted,,,No,4.004,1250,-,2017
PRI,Accepted,,,No,3.809,1300,27,2017
EA,Accepted,,,No,4.069,1460,-,2017
RD,Accepted,,,No,3.932,1400,27,2017
RD,Jan. Admit,,,No,3.912,1450,33,2017
RD,Accepted,,,Yes,4.176,-,32,2017
EA,Accepted,,,No,4.577,1550,-,2017
EA,Accepted,,,Yes,4.165,1490,32,2017
EA,Accepted,,,No,4.012,1420,32,2017
ROLL,Denied,,,No,3.635,1280,26,2017
PRI,Accepted,,,No,4.578,1580,34,2017
PRI,Denied,,,No,3.433,1150,-,2017
PRI,Accepted,,,No,4.297,-,34,2017
PRI,Denied,,,No,3.209,-,30,2017
EA,Accepted,,,No,4.078,1350,30,2017
PRI,Denied,,,No,3.874,1370,27,2017
PRI,Unknown,,,Unknown,3.901,-,34,2017
RD,Incomplete,,,No,3.457,1200,-,2017
RD,Jan. Admit,,Yes,No,3.675,1330,28,2017
PRI,Denied,,,No,3.74,1290,-,2017
EA,Accepted,,,No,4.174,1520,32,2017
PRI,Accepted,,,No,3.824,1360,-,2017
PRI,Accepted,,,No,3.656,1120,-,2017
EA,Accepted,,,Yes,3.966,1350,-,2017
EA,Denied,,,No,3.512,1250,26,2017
RD,Accepted,,,No,4.069,1520,33,2017
EA,Denied,,,No,3.873,-,23,2017
EA,Accepted,,,Yes,4.216,1370,30,2017
RD,Incomplete,,,No,3.512,1180,28,2017
EA,Accepted,,,No,4.556,1600,-,2017
EA,Denied,,,No,3.654,1120,24,2017
PRI,Accepted,,,No,3.983,1520,33,2017
EA,Accepted,,,Yes,4.158,1360,32,2017
RD,Accepted,,,No,4.5,1530,35,2017
EA,Jan. Admit,,,No,3.663,1370,30,2017
RD,Accepted,,,No,3.83,1170,-,2017
EA,No decision,,,No,3.946,1370,31,2017
EA,Unknown,,,Unknown,3.676,1460,33,2017
EA,Accepted,,,No,2.938,1400,-,2017
EA,Denied,,,No,3.43,-,29,2017
PRI,Accepted,,,No,4.316,1470,32,2017
EA,Accepted,,,No,3.597,1410,29,2017
PRI,Accepted,,,No,4.556,1600,-,2017
ROLL,No decision,,,No,3.672,1310,26,2017
RD,Accepted,,,No,4.135,1350,32,2017
RD,Accepted,,,No,4.203,1440,36,2017
PRI,Accepted,,,No,3.649,1420,-,2017
EA,Accepted,,,No,3.788,1380,-,2017
EA,Denied,,,No,3.293,1280,26,2017
PRI,Denied,,,No,3.123,1270,-,2017
EA,Accepted,,,No,3.94,1550,-,2017
EA,Denied,,,No,3.454,1470,-,2017
RD,Accepted,,,No,3.731,1290,28,2017
RD,Denied,,,No,3.468,1410,26,2017
RD,Denied,,,No,3.487,1300,32,2017
RD,Incomplete,,,No,3.405,-,21,2017
PRI,Denied,,,No,3.639,1360,27,2017
RD,Accepted,,,No,4.342,1530,-,2017
RD,Accepted,,,No,3.953,1250,23,2017
EA,Accepted,,,Yes,4.056,1330,30,2017
EA,Accepted,,,No,4.091,1460,-,2017
RD,Withdrawn,,,No,3.86,1420,31,2017
PRI,Accepted,,,No,4.118,-,34,2017
RD,Withdrawn,,,No,3.774,1350,-,2017
RD,Incomplete,,,No,3.713,1330,33,2017
EA,Accepted,,,No,4.313,1420,32,2017
RD,Denied,,,No,3.606,1290,26,2017
RD,Unknown,,,No,3.606,1290,26,2017
RD,Denied,,,No,3.508,1230,-,2017
RD,Accepted,,,No,3.982,1430,-,2017
RD,Incomplete,,,No,3.185,1160,-,2017
RD,Incomplete,,,No,3.779,1320,-,2017
RD,Accepted,,,No,3.801,1380,31,2017
RD,Cond. Accept,,,Yes,3.722,1320,28,2017
RD,Denied,,,No,3.415,1160,-,2017
ED,No decision,,,No,3.261,1220,-,2017
RD,Accepted,,,No,3.892,1370,30,2017
EA,Denied,,,No,3.842,1400,28,2017
RD,Denied,,,No,3.406,1340,31,2017
EA,Accepted,,,No,4.086,1480,33,2017
EA,Accepted,,,No,3.708,1280,25,2017
EA,Accepted,,,No,3.899,1280,30,2017
PRI,Denied,,,No,3.275,1380,25,2017
EA,Waitlisted,Yes,,Unknown,3.851,1160,-,2017
EA,Denied,,,No,3.218,990,-,2017
RD,Cond. Accept,,,No,4.218,1310,29,2017
EA,Accepted,,,No,3.852,1310,24,2017
PRI,Denied,,,No,3.526,1340,31,2017
EA,Accepted,,,No,3.838,1480,32,2017
PRI,Unknown,,,No,4.069,1520,33,2017
EA,Accepted,,,No,4.462,1560,35,2017
PRI,Accepted,,,No,3.824,1440,-,2017
RD,Denied,,,No,3.53,1230,27,2017
RD,Incomplete,,,No,3.807,1240,24,2017
RD,Accepted,,,No,3.855,1400,26,2017
RD,Incomplete,,,No,3.586,1190,-,2017
RD,Denied,,,No,3.567,1260,26,2017
RD,Incomplete,,,No,4.055,1390,31,2017
RD,Denied,,,No,3.293,1280,26,2017
EA,Accepted,,,No,3.649,1420,-,2017
RD,Withdrawn,,,No,4.075,1400,33,2017
RD,Accepted,,,No,4.202,1470,33,2017
RD,Incomplete,,,No,4.228,-,34,2017
EA,Accepted,,,No,4.01,1330,-,2017
RD,Accepted,,,No,3.945,1440,-,2017
RD,Incomplete,,,No,3.689,1170,27,2017
RD,Incomplete,,,No,3.689,1170,27,2017
RD,No decision,,,No,3.689,1180,-,2017
RD,Accepted,,,No,3.968,1400,26,2017
RD,Withdrawn,,,No,3.991,1400,-,2017
RD,Accepted,,,No,4.197,1530,-,2017
RD,Withdrawn,,,No,4.214,1420,-,2017
RD,Accepted,,,Unknown,4.224,1480,34,2017
RD,Accepted,,,No,3.829,1520,-,2017
RD,Accepted,,,No,4.29,1600,-,2017
RD,Incomplete,,,No,4.063,1510,33,2017
RD,Denied,,,No,3.495,1450,31,2017
RD,Accepted,,,No,4.004,1480,32,2017
RD,Accepted,,,No,4.004,1480,32,2017
RD,Accepted,,,No,4.004,1480,32,2017
RD,Accepted,,,No,4.004,1480,32,2017
RD,Accepted,,,No,4.154,1470,-,2017
RD,Waitlisted,Yes,,No,3.156,1320,27,2017
RD,Accepted,,,No,3.815,1430,29,2017
RD,Denied,,,No,3.018,1200,,2017
RD,Incomplete,,,No,3.917,1350,27,2016
RD,Accepted,,,No,3.602,1290,27,2016
RD,Accepted,,,No,4.405,1540,33,2016
RD,Incomplete,,,No,2.996,1310,29,2016
RD,Accepted,,Yes,No,3.848,1180,23,2016
RD,Accepted,,,No,4.065,1390,33,2016
RD,Accepted,,,No,3.495,1310,26,2016
EA,Incomplete,,,No,3.483,1050,-,2016
RD,Denied,,,No,3.533,1080,-,2016
EA,Accepted,,,Yes,3.897,1240,-,2016
EA,Incomplete,,,No,3.891,1400,-,2016
RD,Denied,,,No,3.35,1120,30,2016
RD,Denied,,,No,3.839,1120,25,2016
RD,Incomplete,,,No,3.793,900,21,2016
PRI,Accepted,,,No,4.275,1350,-,2016
RD,Incomplete,,,No,3.86,1290,-,2016
RD,Withdrawn,,,No,3.535,1360,27,2016
RD,Withdrawn,,,No,3.707,-,29,2016
RD,Accepted,,,No,3.591,1280,28,2016
EA,Accepted,,,No,3.432,1360,32,2016
RD,Accepted,,,No,3.432,1360,32,2016
EA,Denied,,,No,3.035,1100,28,2016
EA,Accepted,,,No,4.326,1560,35,2016
RD,Withdrawn,,,No,4.075,1140,-,2016
PRI,Accepted,,,No,3.869,1190,-,2016
RD,Accepted,,,No,4.217,1470,34,2016
PRI,Accepted,,,No,3.659,1180,-,2016
RD,Denied,,,No,3.669,1190,23,2016
PRI,Denied,,,No,3.669,1190,23,2016
PRI,Accepted,,,No,4.153,1340,29,2016
EA,Accepted,,,No,4.164,1460,-,2016
RD,Accepted,,,No,4.056,-,31,2016
EA,Accepted,,,No,4.127,1520,-,2016
RD,Withdrawn,,,No,3.547,1080,22,2016
RD,Denied,,,No,3.283,1030,-,2016
EA,Withdrawn,,,No,4.146,1360,32,2016
RD,Accepted,,,Yes,3.922,1440,35,2016
PRI,Incomplete,,,No,3.977,1440,32,2016
PRI,Accepted,,,Yes,4.075,1260,28,2016
EA,Accepted,,,Yes,4.263,1330,35,2016
PRI,Denied,,,No,3.369,1090,26,2016
RD,Accepted,,,No,4.287,1490,35,2016
RD,Accepted,,,Yes,3.869,1310,26,2016
PRI,Accepted,,,Yes,4.316,1520,33,2016
RD,Unknown,,,Unknown,3.177,1230,25,2016
EA,Incomplete,,,No,4.045,1290,31,2016
PRI,Denied,,,No,3.561,1220,26,2016
RD,Denied,,,No,3.683,1280,-,2016
EA,Denied,,,No,3.637,1150,27,2016
RD,Denied,,,No,3.593,840,-,2016
EA,Unknown,,,No,4.142,1410,-,2016
RD,Withdrawn,,,No,4.081,1340,32,2016
EA,Accepted,,,No,3.867,1390,34,2016
RD,Accepted,,,Yes,3.7,1270,-,2016
EA,Accepted,,,Yes,4.04,1330,30,2016
RD,Accepted,,,Unknown,3.831,1180,-,2016
EA,Accepted,,,Yes,3.711,1270,27,2016
PRI,Accepted,,,No,4.06,1430,33,2016
RD,Accepted,,,No,4.06,1430,33,2016
RD,Withdrawn,,,No,3.881,1370,33,2016
RD,Accepted,,,No,3.658,-,27,2016
EA,Accepted,,,No,4.512,1530,-,2016
RD,Withdrawn,,,No,4.125,1410,32,2016
PRI,Accepted,,,No,4.316,1470,34,2016
EA,Accepted,,,No,4.27,1280,31,2016
EA,Accepted,,,No,4.18,1480,36,2016
PRI,Unknown,,,Unknown,3.54,1260,27,2016
EA,Accepted,,,No,4.105,1370,30,2016
RD,Accepted,,,Yes,4.168,1370,33,2016
EA,Accepted,,,No,3.67,1300,26,2016
RD,Accepted,,,No,3.67,1300,26,2016
EA,Accepted,,,No,3.704,1260,-,2016
RD,Denied,,,No,3.33,960,20,2016
RD,Accepted,,,No,3.772,1280,-,2016
RD,Withdrawn,,,No,3.522,1100,-,2016
RD,Withdrawn,,,No,3.365,1130,24,2016
RD,Jan. Admit,,,No,3.929,1350,30,2016
EA,Accepted,,,No,4.333,1380,34,2016
RD,Accepted,,,No,4.09,1380,31,2016
PRI,Accepted,,,Yes,4.05,1320,30,2016
RD,Accepted,,,No,3.737,1400,-,2016
EA,Accepted,,,No,4.013,1480,30,2016
RD,Withdrawn,,,No,3.498,1270,28,2016
EA,Accepted,,,No,4.23,1530,35,2016
RD,Accepted,,,No,3.861,1310,29,2016
RD,No decision,,,No,3.879,1210,32,2016
PRI,Accepted,,,No,3.88,1430,-,2016
PRI,Accepted,,,No,4.246,1570,35,2016
PRI,Accepted,,,No,4.502,1440,35,2016
EA,Accepted,,,No,4.294,1500,35,2016
PRI,Accepted,,,No,4.159,1480,-,2016
RD,Cond. Accept,,,No,3.865,1150,28,2016
RD,Cond. Accept,,,Unknown,3.754,1390,32,2016
RD,Accepted,,,Yes,3.905,1260,-,2016
EA,Accepted,,,Yes,3.453,1370,-,2016
EA,Accepted,,,No,4.449,1530,-,2016
EA,Cond. Accept,,,No,3.908,1230,28,2016
EA,Accepted,,,No,4.035,1390,-,2016
PRI,Accepted,,,No,4.533,1600,-,2016
EA,Accepted,,,Yes,3.405,1430,27,2016
RD,Accepted,,,No,4.13,1540,31,2016
PRI,Accepted,,,No,4.13,1540,31,2016
RD,Withdrawn,,,No,3.86,1340,-,2016
RD,Incomplete,,,No,4.092,1420,32,2016
PRI,Denied,,,No,3.409,1040,27,2016
ROLL,Accepted,,,No,4.363,1510,-,2016
ROLL,Accepted,,,Yes,4.17,1550,34,2016
RD,Denied,,,No,3.734,1380,-,2016
RD,Accepted,,,Yes,3.808,1050,25,2016
PRI,Accepted,,,No,3.957,1330,-,2016
PRI,Incomplete,,,No,3.423,1000,-,2016
RD,Incomplete,,,No,3.528,1120,26,2016
EA,Accepted,,,Yes,4.185,1510,-,2016
PRI,Accepted,,,No,4.351,1510,34,2016
EA,Denied,,,No,3.129,1300,30,2016
PRI,Accepted,,,No,4.185,1140,26,2016
RD,Accepted,,,No,4.239,1420,-,2016
RD,Incomplete,,,No,3.718,1220,28,2016
EA,Accepted,,,No,4.236,1580,-,2016
RD,Waitlisted,Yes,,No,3.496,1410,28,2016
PRI,Waitlisted,Yes,,No,3.357,1070,26,2016
