Type,Result,WL,Defer,Attend,GPA,"Highest Comb SAT 1600",ACT,Year
RD,Denied,,,No,4.342,1540,-,2019
RD,Denied,,,No,3.804,1480,-,2019
EA,Denied,,,No,4.043,1470,-,2019
RD,Denied,,,No,3.462,1340,-,2019
EA,Denied,,,No,3.756,1410,29,2019
EA,Denied,,,No,3.955,1350,-,2019
RD,Denied,,,No,4.191,1590,-,2019
RD,Denied,,,No,4.042,-,34,2019
RD,Accepted,,,Yes,4.452,1470,35,2019
RD,Denied,,,No,3.836,1380,28,2019
RD,Unknown,,,No,3.78,-,-,2019
RD,Incomplete,,,No,3.65,-,26,2019
RD,Denied,,,No,3.95,1480,-,2019
RD,Denied,,,Unknown,3.92,1530,-,2019
RD,Denied,,,No,3.625,-,-,2019
RD,Denied,,,No,4.03,1440,-,2019
RD,Incomplete,,,No,3.361,1480,30,2019
RD,Denied,,,No,3.843,1370,-,2019
RD,Incomplete,,,No,3.849,1450,-,2019
RD,Withdrawn,,,No,3.875,1500,-,2019
RD,Denied,,,No,3.991,1450,-,2019
RD,Denied,,,No,3.722,1450,-,2019
RD,Denied,,,No,4.078,1400,31,2019
RD,Denied,,,No,3.826,1420,-,2019
RD,Denied,,,Unknown,3.132,900,22,2019
RD,Denied,,,No,4.132,1500,31,2019
RD,Withdrawn,,,No,4.215,-,32,2019
RD,Denied,,,No,3.866,1480,33,2019
RD,Incomplete,,,No,3.343,1390,-,2019
RD,Denied,,,No,3.818,-,34,2019
EA,Denied,,,No,4.028,1390,-,2018
EA,Denied,,,No,3.945,1530,30,2018
RD,Denied,,,No,4.257,1390,32,2018
EA,Denied,,,No,3.931,1330,27,2018
EA,Denied,,,No,4.327,1580,-,2018
EA,Withdrawn,,,No,4.486,1560,-,2018
EA,Denied,,,No,4.188,1440,35,2018
RD,Denied,,,No,4.16,1480,-,2018
EA,Denied,,,No,3.95,1420,-,2018
RD,Denied,,,No,3.907,1420,30,2018
EA,Accepted,,,No,4.528,1580,36,2018
EA,Denied,,,No,4.317,1500,33,2018
RD,Denied,,,No,4.375,1530,34,2018
EA,Accepted,,,Yes,4.403,1500,33,2018
EA,Accepted,,,No,4.438,1540,35,2018
EA,Denied,,,No,4.063,1480,34,2018
RD,Denied,,,No,3.984,1300,28,2018
RD,Denied,,,No,3.827,1340,25,2018
EA,Denied,,,No,3.806,-,33,2018
EA,Denied,,,No,4.397,1570,35,2018
EA,Denied,,,No,3.844,-,33,2018
EA,Accepted,,,Yes,4.625,1500,35,2018
EA,Withdrawn,,,No,4.362,1520,35,2018
EA,Incomplete,,,No,4.028,1450,29,2018
EA,Accepted,,,No,4.563,1560,-,2018
EA,Withdrawn,,,No,4.084,-,34,2018
EA,Denied,,,No,3.867,1500,33,2018
EA,Deferred,,Yes,No,3.978,1410,-,2018
EA,Denied,,Yes,No,4.302,1520,35,2018
EA,Denied,,,No,4.244,1490,35,2018
EA,Denied,,,No,4.076,1490,-,2018
EA,Withdrawn,,,No,3.875,-,30,2018
RD,Denied,,,No,3.845,1480,32,2018
RD,Denied,,,No,3.906,-,35,2018
EA,Denied,,,No,4.292,1550,-,2018
EA,Denied,,Yes,No,4.369,1510,34,2018
EA,Denied,,,No,4.042,1510,35,2018
EA,Incomplete,,,No,4.451,1540,-,2018
EA,Denied,,,No,4.25,1500,34,2018
EA,Denied,,,No,4.138,1400,24,2018
EA,Accepted,,,No,4.396,1550,-,2018
RD,Denied,,,No,4.348,1560,-,2018
EA,Denied,,,No,3.702,1310,-,2018
RD,Denied,,,No,3.555,1430,-,2018
RD,Denied,,,No,3.817,1400,31,2018
EA,Denied,,,No,3.833,1420,-,2018
RD,Denied,,,No,4,1500,-,2018
RD,Incomplete,,,No,4.073,1490,-,2018
RD,Incomplete,,,No,4.417,1540,-,2018
RD,Withdrawn,,,No,4.181,1520,-,2018
EA,Denied,,,No,4.374,-,34,2018
RD,Denied,,,No,4.273,1490,34,2018
RD,Denied,,,No,3.857,1340,27,2018
RD,Incomplete,Yes,,No,4.435,1520,35,2018
RD,Withdrawn,,,No,3.394,1210,21,2018
RD,Denied,,,No,3.592,1470,-,2018
RD,Incomplete,,,No,3.312,1460,-,2018
RD,Waitlisted,Yes,,No,4.298,-,-,2018
RD,No decision,Yes,,No,3.8,1380,-,2018
RD,Incomplete,,,No,4.023,1550,-,2018
RD,Denied,,,No,4.087,1410,33,2018
RD,Denied,,,No,4.199,1440,33,2018
RD,Incomplete,,,No,3.865,1290,33,2018
RD,Denied,,,No,3.705,1240,-,2018
RD,Denied,,,No,4.066,-,33,2018
RD,Denied,,,No,4.195,1460,29,2018
RD,Accepted,,,No,3.392,1320,-,2018
RD,Denied,,,No,3.69,1270,-,2018
RD,Denied,,,No,3.944,1500,-,2018
RD,Denied,,,No,3.644,1360,29,2018
RD,Incomplete,,,No,4.226,1520,-,2018
RD,Denied,,,No,3.592,1470,-,2018
RD,Incomplete,,,No,3.182,1130,-,2018
RD,Denied,,,No,4.273,1490,34,2018
EA,Accepted,,,No,4.29,1600,-,2017
RD,Denied,,,No,3.905,1360,31,2017
EA,Accepted,,,Yes,4.419,1480,-,2017
EA,Waitlisted,Yes,,No,4.292,1510,34,2017
EA,Denied,,,No,4.165,1490,32,2017
EA,Denied,,,No,4.416,1540,34,2017
RD,Denied,,,No,3.687,1320,29,2017
RD,Unknown,,,No,4.132,1480,-,2017
EA,Denied,,,No,4.004,1250,-,2017
EA,Accepted,,,No,4.125,1380,33,2017
RD,Denied,,,No,4.178,1410,31,2017
EA,Denied,,,No,3.575,1350,28,2017
RD,Denied,,,No,3.218,990,-,2017
EA,Accepted,,,No,4.577,1550,-,2017
EA,Accepted,,,No,4.505,1500,-,2017
EA,Accepted,,,No,4.578,1580,34,2017
EA,Denied,,,No,3.433,1150,-,2017
EA,Denied,,,No,4.012,1420,32,2017
RD,Unknown,,,Unknown,3.901,-,34,2017
RD,Incomplete,,,No,3.67,1350,23,2017
EA,Denied,,,No,3.74,1290,-,2017
RD,Accepted,,,No,4.383,1510,34,2017
RD,Incomplete,,,No,3.909,1430,-,2017
EA,Accepted,,,No,4.5,1530,35,2017
EA,Denied,,,No,4.197,1530,-,2017
RD,Denied,,Yes,No,4.118,-,34,2017
RD,Incomplete,,,No,4.158,1500,34,2017
EA,Denied,,,No,4.295,1460,30,2017
RD,Denied,,,No,4.203,1440,36,2017
RD,Denied,,,No,3.156,1320,27,2017
RD,Denied,,,No,2.938,1400,-,2017
EA,Denied,,,No,3.564,1340,30,2017
RD,Accepted,,,No,4.461,1600,-,2017
RD,Accepted,,,No,4.342,1530,-,2017
RD,Denied,,,No,4.056,1330,30,2017
RD,Unknown,,,Unknown,3.676,1460,33,2017
EA,Unknown,,,No,3.208,1280,28,2017
RD,Incomplete,,,No,4.438,1480,32,2017
RD,Denied,,,No,3.679,1130,22,2017
RD,Incomplete,,,No,3.064,1340,26,2017
RD,Denied,,,No,4.025,1460,34,2017
RD,Unknown,,,No,4.289,1490,-,2017
RD,Incomplete,,,No,4.069,1520,33,2017
RD,Incomplete,,,No,3.757,1320,33,2017
RD,Denied,,,No,3.945,1440,-,2017
RD,Denied,,,No,3.968,1400,26,2017
RD,Denied,,,No,3.586,1190,-,2017
RD,Denied,,,No,3.586,1190,-,2017
RD,Denied,,,No,3.586,1190,-,2017
RD,Withdrawn,,,No,4.389,1390,35,2017
RD,Denied,,,No,4.063,1510,33,2017
RD,Denied,,,No,4.007,-,30,2017
RD,Denied,,,No,3.731,1290,28,2017
RD,Denied,,,No,3.805,1360,32,2016
RD,Waitlisted,Yes,,No,4.121,1420,-,2016
EA,Denied,,,No,4.275,1450,32,2016
RD,Denied,,,No,3.432,1360,32,2016
EA,Denied,,,No,3.432,1360,32,2016
EA,Accepted,,,No,4.289,1540,-,2016
RD,Incomplete,,,No,3.035,1100,28,2016
EA,Waitlisted,Yes,,No,4.326,1560,35,2016
RD,Waitlisted,Yes,,No,4.127,1520,-,2016
EA,Accepted,,,No,4.58,1600,-,2016
EA,Denied,,,No,3.636,1390,-,2016
RD,Denied,,,No,3.922,1440,35,2016
RD,Denied,,,No,4.052,1460,33,2016
EA,Accepted,,,No,4.323,1600,-,2016
EA,Waitlisted,Yes,,No,4.263,1330,35,2016
RD,Denied,,,No,3.369,1090,26,2016
RD,Denied,,,No,3.972,1300,29,2016
EA,Accepted,,,No,4.502,1560,-,2016
RD,Denied,,,No,3.593,840,-,2016
RD,Withdrawn,,,No,4.081,1340,32,2016
EA,Denied,,,No,4.04,1330,30,2016
EA,Accepted,,,Yes,4.316,1470,34,2016
EA,Denied,,,No,4.18,1480,36,2016
RD,Denied,,,No,3.647,-,30,2016
EA,Waitlisted,Yes,,No,3.269,1240,27,2016
RD,Denied,,,No,4.013,1480,30,2016
RD,Withdrawn,,,No,3.65,1140,21,2016
RD,Denied,,,No,4.05,1320,30,2016
EA,Accepted,,,No,4.502,1440,35,2016
EA,Waitlisted,Yes,,No,4.294,1500,35,2016
EA,Accepted,,,No,4.449,1530,-,2016
RD,Withdrawn,,,No,3.925,1440,-,2016
RD,Incomplete,,,No,4.267,1280,29,2016
EA,Denied,,,No,3.808,1050,25,2016
EA,Denied,,,No,4.185,1510,-,2016
EA,Accepted,,,No,4.351,1510,34,2016
EA,Denied,,,No,3.129,1300,30,2016
EA,Denied,,,No,3.361,1300,30,2016
RD,Incomplete,,,No,4.127,1450,33,2016
EA,Denied,,,No,4.236,1580,-,2016
RD,Accepted,,,No,4.553,1600,36,2016
RD,Incomplete,,,No,2.82,850,16,2016
RD,Waitlisted,Yes,,Unknown,4.314,1400,35,2016
RD,Denied,,,No,3.294,1340,28,2016
EA,Denied,,,No,3.943,1440,-,2016
RD,Incomplete,,,No,4.006,1400,31,2016
RD,Denied,,,No,3.829,1300,31,2016
EA,Waitlisted,Yes,,No,4.194,1400,32,2016
RD,Denied,,,No,3.914,1540,35,2016
