Type,Result,WL,Defer,Attend,GPA,"Highest Comb SAT 1600",ACT,Year
RD,Denied,,,No,3.616,1180,-,2019
RD,Incomplete,,,Unknown,3.911,1450,-,2019
RD,Withdrawn,,,No,4.26,1510,33,2019
RD,Denied,,,No,3.818,-,34,2019
RD,Unknown,,,No,4.024,1440,-,2019
RD,Unknown,,,Unknown,4.001,1380,-,2019
RD,Denied,,,No,3.449,1540,-,2019
RD,Denied,,,No,3.092,1230,-,2018
RD,Incomplete,,,No,3.391,1170,26,2018
RD,Waitlisted,Yes,,No,4.317,1500,33,2018
RD,No decision,Yes,,No,4.41,1550,36,2018
RD,No decision,Yes,,No,4.282,1470,34,2018
RD,Denied,,,No,4.257,1390,32,2018
ED,Denied,,,No,3.861,1240,25,2018
ED,No decision,Yes,,No,4.327,1580,-,2018
RD,Incomplete,,,No,4.486,1560,-,2018
RD,Denied,,,No,4.16,1480,-,2018
RD,Denied,,,No,4.056,1500,33,2018
RD,Denied,,,No,4.123,1430,30,2018
RD,Incomplete,,,No,4.04,1470,32,2018
RD,Denied,,,No,4.375,1530,34,2018
RD,Denied,,,No,4.438,1540,35,2018
RD,Waitlisted,Yes,,No,4.528,1580,36,2018
RD,Denied,,,No,4.063,1480,34,2018
RD,Denied,,,No,4.313,1410,33,2018
RD,Denied,,,No,3.123,1200,20,2018
RD,Waitlisted,Yes,,No,4.302,1520,35,2018
RD,Denied,,,No,4.195,1460,29,2018
RD,Denied,,,No,4.327,1490,34,2018
ED,Denied,,,No,3.806,-,33,2018
RD,Denied,,,No,4.175,1540,35,2018
ED,Denied,,,No,4.028,1450,29,2018
RD,Unknown,,,No,4.479,1510,35,2018
RD,Waitlisted,Yes,,No,4.625,1500,35,2018
RD,Denied,,,No,4.195,1450,32,2018
RD,Withdrawn,,,No,4.362,1520,35,2018
RD,Denied,,,No,3.867,1380,-,2018
RD,Waitlisted,Yes,,No,4.563,1560,-,2018
RD,Waitlisted,Yes,,No,4.232,1530,36,2018
RD,Waitlisted,Yes,,No,4.417,1540,-,2018
RD,Denied,,,No,4.273,1490,34,2018
RD,Denied,,,No,4.087,1410,33,2018
RD,Waitlisted,Yes,,No,4.244,1490,35,2018
RD,Denied,,,No,4.076,1490,-,2018
RD,Denied,,,No,4.427,1530,34,2018
RD,Denied,,,No,3.806,1260,30,2018
RD,Denied,,,No,4.112,1270,32,2018
RD,Denied,,,No,3.906,-,35,2018
ED,Incomplete,,,No,3.867,1500,33,2018
RD,Waitlisted,Yes,,No,4.431,1580,-,2018
RD,No decision,Yes,,No,4.377,-,32,2018
RD,Accepted,,,Yes,4.292,1550,-,2018
RD,Denied,,,No,4.25,1500,34,2018
RD,Denied,,,No,3.486,1300,25,2018
RD,Waitlisted,Yes,,No,4.337,1500,35,2018
RD,Denied,,,No,4.085,1430,29,2018
RD,Denied,,,No,3.663,1370,34,2018
RD,Denied,,,No,3.98,1440,-,2018
RD,Denied,,,No,4.056,1470,-,2018
RD,Accepted,,,No,4.451,1540,-,2018
RD,Accepted,,,No,4.431,1560,35,2018
RD,Denied,,,No,4.396,1550,-,2018
RD,Denied,,,No,4.122,1390,-,2018
RD,Waitlisted,Yes,,No,4.271,1530,35,2018
RD,Unknown,,,No,4.279,-,35,2018
RD,Accepted,,,No,4.312,1450,-,2018
ED,Guar. Transfer,,,No,4.209,1450,33,2018
RD,Denied,,,No,3.743,1100,-,2018
ED,Denied,,,No,3.817,1400,31,2018
RD,Denied,,,No,4.299,1550,33,2018
RD,Denied,,,No,3.833,1420,-,2018
RD,Withdrawn,,,No,4.264,1520,32,2018
RD,Waitlisted,Yes,,No,4.39,1500,-,2018
RD,Denied,,,No,3.397,1380,-,2018
RD,Denied,,,No,4,1500,-,2018
ED,Denied,,,No,3.885,1320,22,2018
ED,Accepted,,,Yes,3.812,1410,31,2018
RD,Denied,,,No,3.484,1270,26,2018
RD,Accepted,,,Yes,4.226,1520,-,2018
RD,Waitlisted,Yes,,No,4.424,1490,35,2018
RD,Incomplete,,,No,3.907,1420,30,2018
RD,Incomplete,,,No,3.612,1440,-,2018
RD,Denied,,,No,3.903,1510,-,2018
RD,Incomplete,,,No,3.727,1510,31,2018
RD,Incomplete,,,No,4.042,1510,35,2018
RD,Denied,,,No,4.348,1560,-,2018
RD,Denied,,,No,4.181,1520,-,2018
RD,Denied,,,No,4.306,1550,-,2018
RD,Denied,,,No,3.845,1410,30,2018
RD,Withdrawn,,,No,3.868,1330,27,2018
RD,Incomplete,,,No,3.816,1220,-,2018
RD,Withdrawn,,,No,3.932,1500,-,2018
RD,Unknown,,,No,3.994,1590,-,2018
RD,Incomplete,,,No,3.893,1440,-,2018
RD,Unknown,,,No,3.51,1130,21,2018
RD,Incomplete,,,No,3.921,1280,30,2018
RD,Denied,,,No,3.341,1330,31,2018
RD,Denied,,,No,4.19,1430,-,2018
RD,Waitlisted,Yes,,No,4.465,1530,-,2018
RD,Incomplete,,,No,3.543,1390,-,2018
RD,Incomplete,,,No,3.75,1430,-,2018
RD,Incomplete,,,No,3.254,1380,34,2018
ED,Incomplete,,,No,3.501,1310,22,2018
ED,Incomplete,,,No,3.501,1310,22,2018
ED,Incomplete,,,No,3.501,1310,22,2018
ED,Incomplete,,,No,3.501,1310,22,2018
ED,Incomplete,,,No,3.501,1310,22,2018
ED,Incomplete,,,No,3.501,1310,22,2018
ED,Incomplete,,,No,3.501,1310,22,2018
RD,Incomplete,,,No,3.804,1390,-,2018
RD,Denied,,,No,4.051,1440,22,2018
RD,Denied,,,No,3.91,1420,30,2018
RD,Waitlisted,Yes,,No,4.298,-,-,2018
RD,Incomplete,,,No,3.945,1440,-,2018
RD,Denied,,,No,3.716,1330,25,2018
RD,Denied,,,No,3.8,1380,-,2018
RD,Incomplete,,,No,3.705,1310,-,2018
RD,Incomplete,,,No,3.921,1510,-,2018
RD,Denied,,,No,3.896,1500,34,2018
RD,Withdrawn,,,No,4.084,-,34,2018
RD,No decision,Yes,,No,4.369,1510,34,2018
RD,Accepted,,,Yes,4.251,1390,34,2018
RD,Incomplete,,,No,4.16,1540,32,2018
RD,Incomplete,,,No,4.227,1540,34,2018
RD,Denied,,,No,3.91,-,-,2018
RD,Denied,,,No,3.893,1420,34,2018
RD,No decision,,,No,3.837,-,25,2018
RD,Incomplete,,,No,3.605,1220,30,2018
RD,Incomplete,,,No,4.125,1430,31,2018
RD,Denied,,,No,3.966,1490,33,2018
